"year","region_id","region_name","region_ons_code","link_length_km","link_length_miles","pedal_cycles","two_wheeled_motor_vehicles","cars_and_taxis","buses_and_coaches","LGVs","all_HGVs","all_motor_vehicles"
2008,8,"Yorkshire and The Humber","E12000003",32096,19944,265600000,232500000,20213200000,254300000,3.671e+09,1868800000,26239900000
2008,9,"South East","E12000008",47306,29395,501300000,513100000,41366300000,353900000,6664200000,2542700000,51440300000
2008,10,"West Midlands","E12000005",32804,20383,225200000,225800000,23856400000,3e+08,3980100000,1920500000,30282900000
2008,11,"North East","E12000001",16195,10063,102200000,78700000,9162300000,163100000,1513700000,497600000,11415300000
2009,1,"South West","E12000009",49936,31029,274100000,428900000,25476800000,293600000,4290800000,1387500000,31877600000
2009,2,"East Midlands","E12000004",31287,19441,240500000,244600000,20176600000,209600000,3482800000,1822200000,25935800000
2009,3,"Scotland","S92000003",59390,36903,170300000,195700000,21044600000,384600000,3.693e+09,1582200000,26900200000
2009,4,"Wales","W92000004",33851,21034,96700000,146600000,1.3372e+10,169800000,2326900000,723900000,16739200000
2009,5,"North West","E12000002",36980,22978,296900000,253200000,27213800000,322200000,4072500000,2063400000,33925100000
2009,6,"London","E12000007",14801,9197,3.9e+08,490300000,1.6043e+10,389800000,2.562e+09,626600000,20111600000
2009,7,"East of England","E12000006",39605,24609,444400000,340500000,26837100000,275600000,4801400000,1.963e+09,34217700000
2009,8,"Yorkshire and The Humber","E12000003",32054,19917,278300000,236200000,20099800000,252600000,3575900000,1693600000,25858100000
2009,9,"South East","E12000008",47482,29504,525500000,525100000,40953500000,340200000,6547300000,2297200000,50663300000
2009,10,"West Midlands","E12000005",32835,20403,235900000,231400000,23667700000,295200000,3883600000,1752600000,29830400000
2009,11,"North East","E12000001",16197,10064,107500000,79400000,9057400000,159400000,1.47e+09,445300000,11211500000
2010,1,"South West","E12000009",49904,31009,279800000,378900000,25070700000,289500000,4354700000,1373800000,31467500000
2010,2,"East Midlands","E12000004",31303,19451,243900000,2.18e+08,19994900000,210300000,3562700000,1824200000,25810100000
2010,3,"Scotland","S92000003",59291,36842,177100000,178600000,20703100000,3.96e+08,3779800000,1583700000,26641200000
2010,4,"Wales","W92000004",33836,21025,99900000,130800000,13123800000,170600000,2370700000,712400000,16508300000
2010,5,"North West","E12000002",36961,22967,298100000,231700000,26677800000,335100000,4068100000,2066100000,33378700000
2010,6,"London","E12000007",14819,9208,395800000,452200000,15844200000,385700000,2535400000,634400000,1.9852e+10
2010,7,"East of England","E12000006",39609,24612,449300000,303100000,26074300000,2.72e+08,4805100000,1986500000,3.3441e+10
2010,8,"Yorkshire and The Humber","E12000003",31967,19863,279700000,212500000,19768300000,2.54e+08,3602500000,1706800000,25544100000
2010,9,"South East","E12000008",47554,29549,527800000,474300000,40288100000,342600000,6655700000,2320700000,50081400000
2010,10,"West Midlands","E12000005",32831,20400,238200000,209200000,23196300000,300100000,3950400000,1774700000,29430700000
2010,11,"North East","E12000001",16168,10046,107100000,71600000,8883500000,160800000,1486400000,4.41e+08,11043300000
2011,1,"South West","E12000009",49897,31005,287500000,392600000,2.5075e+10,264200000,4382400000,1351300000,31465400000
2011,2,"East Midlands","E12000004",31311,19456,250100000,224600000,20131200000,192900000,3495400000,1787300000,25831300000
2011,3,"Scotland","S92000003",59288,36840,180900000,182200000,20706200000,370700000,3789900000,1541700000,26590600000
2011,4,"Wales","W92000004",33830,21021,102100000,136500000,13198600000,155600000,2388400000,683400000,16562300000
2011,5,"North West","E12000002",36942,22955,307100000,233400000,26925100000,309800000,4262600000,1932300000,33663200000
2011,6,"London","E12000007",14800,9196,392100000,435300000,15525400000,3.74e+08,2529300000,631300000,19495300000
2011,7,"East of England","E12000006",39632,24626,461500000,312500000,26329200000,245400000,4861400000,1931300000,33679900000
2011,8,"Yorkshire and The Humber","E12000003",31959,19858,2.86e+08,2.19e+08,19894400000,234300000,3661800000,1669800000,25679300000
2011,9,"South East","E12000008",47615,29587,543500000,480200000,40656200000,319600000,6725600000,2265300000,50446900000
2011,10,"West Midlands","E12000005",32851,20413,244400000,210100000,23561600000,271800000,3963200000,1749100000,29755800000
2011,11,"North East","E12000001",16161,10042,110200000,7.2e+07,8955900000,147300000,1497700000,443800000,11116700000
2012,1,"South West","E12000009",49977,31054,310400000,3.4e+08,2.4968e+10,262900000,4502300000,1.324e+09,31397100000
2012,2,"East Midlands","E12000004",31358,19485,2.68e+08,198300000,20299300000,195400000,3593400000,1756600000,2.6043e+10
2012,3,"Scotland","S92000003",59384,36900,200400000,164100000,20847800000,379200000,3898800000,1537800000,26827800000
2012,4,"Wales","W92000004",33857,21038,112900000,122200000,13209400000,158400000,2453600000,671800000,16615400000
2012,5,"North West","E12000002",36992,22986,321300000,209200000,26744500000,309100000,4409100000,1812200000,33484100000
2012,6,"London","E12000007",14815,9206,395600000,409200000,15344900000,378500000,2552600000,655300000,19340500000
2012,7,"East of England","E12000006",39709,24674,492800000,273900000,26497800000,246900000,4946500000,1863500000,33828600000
2012,8,"Yorkshire and The Humber","E12000003",32015,19893,304100000,193900000,19752400000,235700000,3706100000,1.643e+09,25531100000
2012,9,"South East","E12000008",47700,29639,573100000,430600000,40645500000,318800000,6.894e+09,2.205e+09,50493900000
2012,10,"West Midlands","E12000005",32890,20437,2.61e+08,185400000,23609600000,273800000,4023300000,1745900000,29838100000
2012,11,"North East","E12000001",16199,10066,115300000,64100000,8999800000,149800000,1513800000,431800000,11159200000
2013,1,"South West","E12000009",50053,31101,303100000,354800000,25098500000,258800000,4560800000,1332900000,31605800000
2013,2,"East Midlands","E12000004",31426,19527,259900000,207900000,20313500000,193100000,3681900000,1795800000,26192300000
2013,3,"Scotland","S92000003",59474,36955,198100000,172400000,2.0903e+10,376100000,3962700000,1548500000,26962700000
2013,4,"Wales","W92000004",33894,21061,110600000,128500000,13345200000,157700000,2493400000,673500000,16798300000
2013,5,"North West","E12000002",37027,23008,311500000,214300000,26809900000,3.01e+08,4499800000,1809700000,33634700000
2013,6,"London","E12000007",14830,9215,374100000,3.92e+08,15295400000,363100000,2618500000,645500000,19314500000
2013,7,"East of England","E12000006",39765,24709,476300000,281400000,26653300000,242300000,4992200000,1891100000,34060200000
2013,8,"Yorkshire and The Humber","E12000003",32049,19914,293900000,202100000,19829600000,230200000,3779800000,1676500000,25718100000
2013,9,"South East","E12000008",47790,29695,553600000,438500000,40528600000,311600000,6983700000,2213100000,50475400000
2013,10,"West Midlands","E12000005",32928,20461,2.52e+08,190300000,23506900000,264100000,4115900000,1744600000,29821900000
2013,11,"North East","E12000001",16224,10081,111300000,65100000,8999200000,143600000,1537400000,429700000,1.1175e+10
2014,1,"South West","E12000009",50097,31129,337100000,368200000,25765300000,265300000,4840500000,1363100000,32602400000
2014,2,"East Midlands","E12000004",31445,19539,288400000,213300000,20736900000,195100000,3893100000,1837600000,26876100000
2014,3,"Scotland","S92000003",59408,36914,222500000,179200000,21308700000,377800000,4194100000,1540100000,27599800000
2014,4,"Wales","W92000004",33917,21075,126200000,136300000,13833500000,159300000,2640300000,6.79e+08,17448400000
2014,5,"North West","E12000002",37026,23007,339100000,218900000,2.7384e+10,298500000,4770800000,1841200000,34513500000
2014,6,"London","E12000007",14843,9223,411200000,407800000,15488600000,355400000,2785400000,643200000,19680400000
2014,7,"East of England","E12000006",39807,24735,530100000,290400000,27322600000,243800000,5333200000,1927500000,35117500000
2014,8,"Yorkshire and The Humber","E12000003",32034,19905,323500000,207300000,20399600000,232900000,3992800000,1735800000,26568400000
2014,9,"South East","E12000008",47846,29730,6.09e+08,454100000,41423400000,313900000,7410200000,2305700000,51907200000
2014,10,"West Midlands","E12000005",32959,20480,279200000,195700000,24089400000,263400000,4318700000,1865200000,30732500000
2014,11,"North East","E12000001",16239,10090,1.2e+08,67300000,9175100000,143800000,1623700000,434100000,11443900000
2015,1,"South West","E12000009",50094,31127,313900000,366300000,26091900000,251300000,5075200000,1405300000,3.319e+10
2015,2,"East Midlands","E12000004",31483,19563,268800000,212300000,21040200000,184100000,4087100000,1.901e+09,27424600000
2015,3,"Scotland","S92000003",59345,36875,205700000,176900000,21496900000,364500000,4390400000,1.56e+09,27988600000
2015,4,"Wales","W92000004",33881,21053,119400000,138300000,14109300000,149700000,2774300000,686200000,17857900000
2015,5,"North West","E12000002",37032,23011,317600000,220700000,27638100000,287400000,4997700000,1895400000,35039400000
